displayName,formattedAddress,types,websiteUri,internationalPhoneNumber,rating,googleMapsUri,location
Old Ebbitt Grill,"675 15th St NW, Washington, DC 20005, USA","['american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.ebbitt.com/,+1 202-347-4800,4.6,https://maps.google.com/?cid=5007258029174684277,washington_dc
Founding Farmers,"1924 Pennsylvania Avenue NW, Washington, DC 20006, USA","['american_restaurant', 'breakfast_restaurant', 'hamburger_restaurant', 'brunch_restaurant', 'seafood_restaurant', 'bar', 'sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.wearefoundingfarmers.com/location/dc/,+1 202-822-8783,4.4,https://maps.google.com/?cid=16277699927814263029,washington_dc
Zaytinya by José Andrés,"701 9th St NW, Washington, DC 20001, USA","['mediterranean_restaurant', 'greek_restaurant', 'lebanese_restaurant', 'middle_eastern_restaurant', 'bar', 'turkish_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.zaytinya.com/,+1 202-638-0800,4.5,https://maps.google.com/?cid=12842635963677623564,washington_dc
Le Diplomate,"1601 14th St NW, Washington, DC 20009, USA","['french_restaurant', 'brunch_restaurant', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://lediplomatedc.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,+1 202-332-3333,4.6,https://maps.google.com/?cid=15323473404236892516,washington_dc
The Hamilton,"600 14th St NW, Washington, DC 20005, USA","['american_restaurant', 'sushi_restaurant', 'steak_house', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.thehamiltondc.com/?y_source=1_MzcwMzY3MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 202-787-1000,4.5,https://maps.google.com/?cid=15530433296305103934,washington_dc
L'Enfant Plaza,"429 L'Enfant Plaza SW, Washington, DC 20024, USA","['shopping_mall', 'fast_food_restaurant', 'middle_eastern_restaurant', 'chinese_restaurant', 'italian_restaurant', 'american_restaurant', 'parking', 'mexican_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.lenfantplaza.com/,+1 202-485-3300,4.2,https://maps.google.com/?cid=9523452981881326808,washington_dc
Tatte Bakery & Cafe | City Center,"1090 I St NW, Washington, DC 20001, USA","['restaurant', 'breakfast_restaurant', 'brunch_restaurant', 'coffee_shop', 'cafe', 'bakery', 'food', 'store', 'point_of_interest', 'establishment']",https://tattebakery.com/,+1 202-984-7540,4.4,https://maps.google.com/?cid=6845695694602596014,washington_dc
Unconventional Diner,"1207 9th St NW, Washington, DC 20001, USA","['restaurant', 'american_restaurant', 'food', 'point_of_interest', 'establishment']",http://unconventionaldiner.com/,+1 202-847-0122,4.5,https://maps.google.com/?cid=5000542116892088979,washington_dc
Founding Farmers & Distillers,"600 Massachusetts Ave NW, Washington, DC 20001, USA","['american_restaurant', 'breakfast_restaurant', 'brunch_restaurant', 'steak_house', 'seafood_restaurant', 'bar', 'sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.wearefoundingfarmers.com/location/founding-farmers-distillers/,+1 202-464-3001,4.3,https://maps.google.com/?cid=14217584255619257737,washington_dc
Pisco y Nazca Ceviche Gastrobar,"1823 L St NW, Washington, DC 20036, USA","['brunch_restaurant', 'seafood_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://piscoynazca.com/washington-dc,+1 202-559-3726,4.9,https://maps.google.com/?cid=5774451420173532993,washington_dc
The Smith,"901 F St NW, Washington, DC 20004, USA","['american_restaurant', 'brunch_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://thesmithrestaurant.com/,+1 202-868-4900,4.3,https://maps.google.com/?cid=15819698947355123589,washington_dc
Alamo Drafthouse Cinema DC Bryant Street,"630 Rhode Island Ave NE, Washington, DC 20002, USA","['movie_theater', 'performing_arts_theater', 'bar', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://drafthouse.com/dc-metro-area/theater/dc-bryant-street,+1 202-558-4341,4.0,https://maps.google.com/?cid=2997863485395954902,washington_dc
Oyamel Cocina Mexicana,"401 7th St NW, Washington, DC 20004, USA","['mexican_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.oyamel.com/,+1 202-628-1005,4.4,https://maps.google.com/?cid=12121242196856729399,washington_dc
The Watergate Hotel,"2650 Virginia Ave NW, Washington, DC 20037, USA","['hotel', 'night_club', 'wedding_venue', 'bar', 'event_venue', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",http://www.thewatergatehotel.com/,+1 844-617-1972,4.3,https://maps.google.com/?cid=14372268116628248400,washington_dc
Fairmont Washington D.C. Georgetown,"2401 M St NW, Washington, DC 20037, USA","['hotel', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",https://www.fairmont.com/washington/?goto=fiche_hotel&code_hotel=A590&merchantid=seo-maps-US-A590&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,+1 202-429-2400,4.6,https://maps.google.com/?cid=11587788365322497664,washington_dc
Carmine's,"425 7th Street NW at, E St NW, Washington, DC 20004, USA","['italian_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.carminesnyc.com/,+1 202-737-7770,4.3,https://maps.google.com/?cid=16209057991950496878,washington_dc
SUCCOTASH,"915 F St NW, Washington, DC 20004, USA","['steak_house', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.succotashrestaurant.com/,+1 202-849-6933,4.4,https://maps.google.com/?cid=1236603475398636786,washington_dc
Jaleo by José Andrés,"480 7th St NW, Washington, DC 20004, USA","['spanish_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://www.jaleo.com/dc,+1 202-628-7949,4.4,https://maps.google.com/?cid=13617953197899233124,washington_dc
L'Ardente,"200 Massachusetts Ave NW, Washington, DC 20001, USA","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.lardente.com/,+1 202-448-0450,4.5,https://maps.google.com/?cid=9605820111329888584,washington_dc
Barcelona Wine Bar,"1622 14th St NW, Washington, DC 20009, USA","['spanish_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.barcelonawinebar.com/location/14th-street/?utm_source=yext&utm_medium=localsearch&utm_campaign=landing-page&utm_content=14-street,+1 202-588-5500,4.4,https://maps.google.com/?cid=17626535468408961304,washington_dc
