displayName,formattedAddress,types,websiteUri,internationalPhoneNumber,rating,googleMapsUri
Walter's,"166 Dekalb Ave, Brooklyn, NY 11217, USA","['american_restaurant', 'brunch_restaurant', 'hamburger_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://waltersbrooklyn.com/,+1 718-488-7800,4.4,https://maps.google.com/?cid=3367954505002117835
Shake Shack Downtown Brooklyn,"409 Fulton St, Brooklyn, NY 11201, USA","['hamburger_restaurant', 'sandwich_shop', 'fast_food_restaurant', 'meal_takeaway', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.shakeshack.com/location/downtown-brooklyn-ny?utm_source=google&utm_medium=listing,+1 718-307-7590,4.3,https://maps.google.com/?cid=4786721306117911370
Emily,"919 Fulton St, Brooklyn, NY 11238, USA","['pizza_restaurant', 'meal_delivery', 'meal_takeaway', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.pizzalovesemily.com/location/brooklyn/,+1 347-844-9588,4.4,https://maps.google.com/?cid=8025592648345834275
Diner,"85 Broadway, Brooklyn, NY 11249, USA","['american_restaurant', 'brunch_restaurant', 'hamburger_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://dinernyc.com/,+1 718-486-3077,4.3,https://maps.google.com/?cid=3719098524587665183
Wendy's,"469 Flatbush Ave, Brooklyn, NY 11225, USA","['fast_food_restaurant', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://locations.wendys.com/united-states/ny/brooklyn/469-flatbush-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,+1 718-287-5005,3.6,https://maps.google.com/?cid=18130969664018427180
Shake Shack Williamsburg,"160 Berry St, Brooklyn, NY 11249, USA","['hamburger_restaurant', 'sandwich_shop', 'fast_food_restaurant', 'meal_takeaway', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.shakeshack.com/location/williamsburg-ny?utm_source=google&utm_medium=listing,+1 929-427-0420,4.3,https://maps.google.com/?cid=16770742442048044046
Lincoln Station,"409 Lincoln Pl, Brooklyn, NY 11238, USA","['cafe', 'coffee_shop', 'sandwich_shop', 'meal_takeaway', 'hamburger_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",http://www.stationfoods.com/,+1 718-399-2211,4.4,https://maps.google.com/?cid=15299862879029215794
McDonald's,"82 Court St, Brooklyn, NY 11201, USA","['fast_food_restaurant', 'coffee_shop', 'breakfast_restaurant', 'sandwich_shop', 'cafe', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.mcdonalds.com/us/en-us/location/NY/BROOKLYN/82-COURT-ST/4705.html?cid=RF:YXT:GMB::Clicks,+1 929-497-0172,3.5,https://maps.google.com/?cid=3572484155236151892
Shake Shack Flatbush - Barclays Ctr,"170 Flatbush Ave, Brooklyn, NY 11217, USA","['hamburger_restaurant', 'sandwich_shop', 'fast_food_restaurant', 'meal_takeaway', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://www.shakeshack.com/location/flatbush-barclays-ctr-ny?utm_source=google&utm_medium=listing,+1 347-442-7711,4.2,https://maps.google.com/?cid=3370748772294951002
Buttermilk Channel,"524 Court St, Brooklyn, NY 11231, USA","['american_restaurant', 'meal_delivery', 'brunch_restaurant', 'meal_takeaway', 'hamburger_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://buttermilkchannelnyc.com/,+1 718-852-8490,4.5,https://maps.google.com/?cid=17317402706294528394
McDonald's,"700 Broadway, Brooklyn, NY 11206, USA","['fast_food_restaurant', 'coffee_shop', 'breakfast_restaurant', 'sandwich_shop', 'cafe', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.mcdonalds.com/us/en-us/location/NY/BROOKLYN/700-BROADWAY/3375.html?cid=RF:YXT:GMB::Clicks,+1 718-599-2870,3.8,https://maps.google.com/?cid=1599988420802622232
McDonald's,"840 Atlantic Ave, Brooklyn, NY 11238, USA","['fast_food_restaurant', 'coffee_shop', 'breakfast_restaurant', 'sandwich_shop', 'cafe', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.mcdonalds.com/us/en-us/location/NY/BROOKLYN/840-ATLANTIC-AVE/23105.html?cid=RF:YXT:GMB::Clicks,+1 718-783-5766,3.5,https://maps.google.com/?cid=7797529834684841979
McDonald's,"395 Flatbush Ave Ext, Brooklyn, NY 11201, USA","['fast_food_restaurant', 'coffee_shop', 'breakfast_restaurant', 'sandwich_shop', 'cafe', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.mcdonalds.com/us/en-us/location/NY/BROOKLYN/395-FLATBUSH-AVE-EXTEN/4025.html?cid=RF:YXT:GMB::Clicks,+1 929-442-5594,3.6,https://maps.google.com/?cid=2761305573940483036
Charm Bar & Restaurant,"448 Dean St, Brooklyn, NY 11217, USA","['night_club', 'hamburger_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://charmbarrestaurant.com/,+1 347-767-2587,4.6,https://maps.google.com/?cid=12760817624955396117
Santa Salsa,"234 Starr St, Brooklyn, NY 11237, USA","['hamburger_restaurant', 'american_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",http://santasalsastreet.com/,+1 347-365-2710,4.6,https://maps.google.com/?cid=10721870777767595349
Jollibee,"5212 Kings Hwy Suite B, Brooklyn, NY 11234, USA","['fast_food_restaurant', 'meal_takeaway', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",https://locations.jollibeefoods.com/usa/ny/brooklyn/5212-kings-highway?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=3086,+1 347-486-3550,3.8,https://maps.google.com/?cid=17404304058181411773
McDonald's,"1380 Broadway, Brooklyn, NY 11221, USA","['fast_food_restaurant', 'coffee_shop', 'breakfast_restaurant', 'sandwich_shop', 'cafe', 'hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",https://www.mcdonalds.com/us/en-us/location/NY/BROOKLYN/1380-BROADWAY/27377.html?cid=RF:YXT:GMB::Clicks,+1 718-573-8797,3.6,https://maps.google.com/?cid=1705895180805640166
